EpP,EaP,Budyko,Boundary,Selection
0.1,NaN,0.0975513104,0.1,NaN
0.2,NaN,0.1903957922,0.2,NaN
0.3,NaN,0.2784903575,0.3,NaN
0.4,NaN,0.3607031779,0.4,NaN
0.4636073,0.4396927,0.4092085828,0.4636073,NaN
0.4698725,0.440515,0.4138117968,0.4698725,NaN
0.5,NaN,0.4354970126,0.5,NaN
0.5017783,0.2629321,0.4367535299,0.5017783,NaN
0.6,NaN,0.5020592521,0.6,NaN
0.6182688,0.3092293,0.5133242303,0.6182688,NaN
0.6444679,0.3430448,0.5290070577,0.6444679,NaN
0.6649458,0.2896067,0.5408838866,0.6649458,NaN
0.6828133,0.3306618,0.5509783784,0.6828133,NaN
0.6831531,0.358084,0.5511679588,0.6831531,NaN
0.7,NaN,0.5604563787,0.7,NaN
0.7075063,0.6067607,0.5645255888,0.7075063,NaN
0.7103613,0.4223736,0.5660621892,0.7103613,NaN
0.732162,0.505412,0.5775960999,0.732162,NaN
0.7547652,0.3062824,0.589188734,0.7547652,NaN
0.7738088,0.5601335,0.5986739452,0.7738088,NaN
0.7938331,0.3303019,0.6083768276,0.7938331,NaN
0.7991761,0.3818017,0.6109197945,0.7991761,NaN
0.8,NaN,0.6113102196,0.8,NaN
0.8169338,0.2278945,0.6192348688,0.8169338,0.2278945
0.8512785,0.4690465,0.634736551,0.8512785,NaN
0.9,NaN,0.655476237,0.9,NaN
0.952633,0.7138354,0.6763385625,0.952633,NaN
0.954016,0.5702389,0.676866248,0.954016,NaN
0.9550679,0.5179164,0.6772669187,0.9550679,NaN
0.9619093,0.6748655,0.6798584874,0.9619093,NaN
0.9938409,0.3894385,0.6916324568,0.9938409,NaN
1,NaN,0.6938438754,1,NaN
1.004131,0.6558925,0.6953165452,1,NaN
1.029781,0.5440314,0.7042743159,1,NaN
1.05212,0.6015844,0.7118214401,1,NaN
1.056334,0.6382389,0.7132192946,1,NaN
1.060285,0.6352886,0.7145225812,1,NaN
1.087414,0.6838113,0.7232834579,1,NaN
1.1,NaN,0.727239016,1,NaN
1.16897,0.7016183,0.7477577724,1,NaN
1.2,NaN,0.7563875895,1,NaN
1.204157,0.6996566,0.7575168641,1,NaN
1.204974,0.7479684,0.7577380755,1,NaN
1.219686,0.8057024,0.7616807983,1,NaN
1.241503,0.7152285,0.767388351,1,NaN
1.3,NaN,0.7819102053,1,NaN
1.4,NaN,0.8043303494,1,NaN
1.5,NaN,0.8240872163,1,NaN
1.6,NaN,0.8415490189,1,NaN
1.7,NaN,0.8570250761,1,NaN
1.730382,0.9789656,0.8613744976,1,NaN
1.8,NaN,0.8707761484,1,NaN
1.9,NaN,0.8830230125,1,NaN
2,NaN,0.8939534674,1,NaN
