         NSE        LNSE         KGE        LKGE          VE          ED
 -0.047  0.246 -0.294  0.349  0.307 -0.464
 -0.026  0.245 -0.259  0.371  0.326 -0.441
 -0.003  0.294 -0.207  0.404  0.380 -0.374
 -0.026  0.249 -0.255  0.370  0.339 -0.433
  0.013  0.313 -0.172  0.446  0.413 -0.338
  0.046  0.227 -0.139  0.409  0.389 -0.371
  0.006  0.304 -0.189  0.444  0.396 -0.356
  0.002  0.291 -0.220  0.439  0.321 -0.401
  0.030  0.324 -0.151  0.422  0.432 -0.312
  0.031  0.302 -0.147  0.456  0.420 -0.327
  0.101  0.287  0.070  0.365  0.683 -0.190
  0.088  0.117  0.228  0.192  0.962 -0.270
  0.064  0.309  0.029  0.440  0.621 -0.223
  0.210  0.217  0.291  0.315  0.931 -0.114
  0.184  0.127  0.317  0.226  0.908 -0.198
  0.201  0.221  0.313  0.344  0.949 -0.117
  0.288  0.229  0.342  0.303  0.933 -0.052
  0.289  0.222  0.342  0.287  0.938 -0.056
  0.297  0.194  0.351  0.232  0.968 -0.069
  0.191  0.324  0.074  0.437  0.564 -0.141
  0.124  0.343 -0.032  0.464  0.465 -0.218
  0.190  0.317  0.133  0.398  0.676 -0.108
  0.267  0.226  0.323  0.297  0.916 -0.069
  0.284  0.222  0.344  0.292  0.943 -0.059
  0.289  0.229  0.344  0.305  0.934 -0.051
  0.260  0.217  0.327  0.296  0.928 -0.079
  0.309  0.242  0.377  0.363  0.939 -0.028
  0.284  0.245  0.357  0.370  0.908 -0.045
  0.183  0.319  0.099  0.463  0.609 -0.133
  0.330  0.250  0.399  0.366  0.938 -0.008
  0.304  0.246  0.379  0.363  0.939 -0.027
  0.317  0.276  0.358  0.399  0.861 -0.005
  0.296  0.297  0.347  0.454  0.819 -0.011
  0.316  0.276  0.356  0.393  0.860 -0.005
  0.317  0.275  0.356  0.398  0.859 -0.006
  0.323  0.252  0.388  0.371  0.918 -0.013
  0.290  0.270  0.323  0.355  0.852 -0.029
  0.362  0.274  0.412  0.468  0.854  0.022
  0.362  0.305  0.345  0.434  0.777  0.030
  0.361  0.306  0.339  0.435  0.771  0.029
  0.361  0.305  0.343  0.431  0.776  0.030
  0.295  0.274  0.251  0.386  0.715 -0.051
  0.343  0.265  0.321  0.532  0.715 -0.027
  0.297  0.316  0.196  0.460  0.619 -0.052
  0.298  0.301  0.299  0.403  0.782 -0.014
  0.403  0.278  0.396  0.502  0.772  0.036
  0.358  0.280  0.338  0.524  0.673 -0.018
  0.379  0.280  0.379  0.505  0.767  0.021
  0.402  0.278  0.391  0.503  0.764  0.033
  0.378  0.285  0.389  0.496  0.791  0.030
  0.418  0.243  0.498  0.479  0.913  0.041
  0.418  0.243  0.499  0.479  0.914  0.041
  0.386  0.254  0.474  0.471  0.918  0.031
  0.417  0.243  0.501  0.479  0.918  0.041
  0.414  0.264  0.451  0.493  0.840  0.046
  0.414  0.265  0.450  0.491  0.840  0.046
  0.433  0.253  0.482  0.459  0.906  0.058
  0.433  0.253  0.482  0.457  0.907  0.058
  0.421  0.195  0.541  0.524  0.908  0.004
  0.431  0.256  0.484  0.452  0.910  0.059
  0.431  0.257  0.483  0.450  0.910  0.060
  0.432  0.258  0.481  0.447  0.907  0.062
  0.432  0.260  0.481  0.442  0.908  0.062
  0.432  0.260  0.482  0.440  0.909  0.063
  0.432  0.260  0.482  0.441  0.909  0.063
  0.426  0.266  0.476  0.470  0.891  0.062
  0.410  0.271  0.448  0.451  0.865  0.052
  0.415  0.266  0.451  0.400  0.908  0.057
  0.433  0.259  0.479  0.442  0.904  0.062
  0.432  0.261  0.481  0.441  0.907  0.063
  0.431  0.259  0.479  0.446  0.904  0.061
  0.433  0.250  0.484  0.449  0.910  0.055
  0.432  0.261  0.481  0.441  0.907  0.063
  0.431  0.262  0.475  0.443  0.898  0.063
  0.433  0.260  0.479  0.440  0.906  0.063
  0.433  0.259  0.478  0.446  0.904  0.062
  0.433  0.261  0.482  0.438  0.909  0.064
  0.433  0.261  0.482  0.438  0.909  0.064
  0.429  0.266  0.476  0.443  0.897  0.064
  0.430  0.265  0.477  0.442  0.897  0.064
  0.431  0.260  0.480  0.446  0.903  0.061
  0.429  0.265  0.476  0.443  0.896  0.064
  0.429  0.265  0.476  0.442  0.896  0.064
  0.430  0.266  0.477  0.441  0.897  0.064
  0.430  0.266  0.477  0.441  0.897  0.064
  0.430  0.265  0.477  0.444  0.897  0.064
  0.430  0.265  0.477  0.442  0.897  0.064
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.409  0.275  0.455  0.509  0.846  0.052
  0.429  0.266  0.477  0.438  0.900  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.430  0.266  0.477  0.441  0.897  0.065
  0.357  0.272  0.418  0.418  0.896  0.023
