 Date, Qmod[mm/d], Qobs[mm/d]
 2013-1-1,0.000,8.284
 2013-1-2,0.002,9.715
 2013-1-3,0.052,7.386
 2013-1-4,0.012,6.221
 2013-1-5,0.013,5.157
 2013-1-6,0.014,4.392
 2013-1-7,0.015,3.926
 2013-1-8,0.021,3.560
 2013-1-9,0.027,3.320
 2013-1-10,0.129,3.460
 2013-1-11,0.048,3.493
 2013-1-12,0.040,3.137
 2013-1-13,0.043,2.808
 2013-1-14,0.046,2.522
 2013-1-15,0.081,2.372
 2013-1-16,0.055,2.153
 2013-1-17,0.054,1.926
 2013-1-18,0.055,1.803
 2013-1-19,0.051,1.703
 2013-1-20,0.046,1.514
 2013-1-21,0.041,1.391
 2013-1-22,0.037,1.384
 2013-1-23,0.034,1.391
 2013-1-24,0.030,1.327
 2013-1-25,0.027,1.171
 2013-1-26,0.024,1.095
 2013-1-27,0.051,1.111
 2013-1-28,0.091,1.151
 2013-1-29,0.074,1.191
 2013-1-30,0.205,1.447
 2013-1-31,0.148,2.342
 2013-2-1,0.162,3.124
 2013-2-2,0.163,2.765
 2013-2-3,0.161,2.246
 2013-2-4,0.236,1.946
 2013-2-5,0.249,1.843
 2013-2-6,0.280,1.797
 2013-2-7,0.252,1.690
 2013-2-8,0.243,1.577
 2013-2-9,0.242,1.487
 2013-2-10,0.226,1.407
 2013-2-11,0.215,1.337
 2013-2-12,0.204,1.264
 2013-2-13,0.185,1.194
 2013-2-14,0.167,1.151
 2013-2-15,0.149,1.118
 2013-2-16,0.133,1.088
 2013-2-17,0.141,1.048
 2013-2-18,0.199,1.055
 2013-2-19,0.210,1.154
 2013-2-20,0.250,1.168
 2013-2-21,0.243,1.115
 2013-2-22,0.245,1.008
 2013-2-23,0.215,0.951
 2013-2-24,0.191,0.928
 2013-2-25,0.171,0.902
 2013-2-26,0.154,0.882
 2013-2-27,0.137,0.852
 2013-2-28,0.122,0.828
 2013-3-1,0.109,0.805
 2013-3-2,0.097,0.788
 2013-3-3,0.087,0.785
 2013-3-4,0.078,0.778
 2013-3-5,0.069,0.769
 2013-3-6,0.062,0.759
 2013-3-7,0.055,0.759
 2013-3-8,0.049,0.752
 2013-3-9,0.044,0.732
 2013-3-10,0.040,0.682
 2013-3-11,0.035,0.635
 2013-3-12,0.037,0.602
 2013-3-13,0.157,0.599
 2013-3-14,0.076,0.602
 2013-3-15,0.079,0.572
 2013-3-16,0.082,0.549
 2013-3-17,0.085,0.542
 2013-3-18,0.077,0.529
 2013-3-19,0.071,0.509
 2013-3-20,0.067,0.496
 2013-3-21,0.061,0.486
 2013-3-22,0.056,0.472
 2013-3-23,0.050,0.456
 2013-3-24,0.045,0.446
 2013-3-25,0.040,0.439
 2013-3-26,0.036,0.429
 2013-3-27,0.033,0.419
 2013-3-28,0.030,0.416
 2013-3-29,0.026,0.409
 2013-3-30,0.024,0.409
 2013-3-31,0.021,0.406
 2013-4-1,0.019,0.399
 2013-4-2,0.017,0.399
 2013-4-3,0.015,0.399
 2013-4-4,0.013,0.399
 2013-4-5,0.012,0.409
 2013-4-6,0.011,0.419
 2013-4-7,0.010,0.432
